Axis1,Axis2,Sample ID,Group,Study
-0.014636308,-0.120842973,FR-adenoma01,Adenoma,FR-CRC
0.013309433,-0.084594074,FR-adenoma02,Adenoma,FR-CRC
0.075611439,-0.266661704,FR-adenoma03,Adenoma,FR-CRC
0.03535855,0.112584974,FR-adenoma04,Adenoma,FR-CRC
0.17125852,0.274167484,FR-adenoma05,Adenoma,FR-CRC
-0.003525339,-0.128767849,FR-adenoma06,Adenoma,FR-CRC
0.059618478,0.183697777,FR-adenoma07,Adenoma,FR-CRC
0.43074349,-0.082419736,FR-adenoma08,Adenoma,FR-CRC
0.433353297,-0.103430287,FR-adenoma09,Adenoma,FR-CRC
0.332419317,-0.1666936,FR-adenoma10,Adenoma,FR-CRC
0.310584835,0.137766946,FR-adenoma11,Adenoma,FR-CRC
0.316508189,-0.208700044,FR-adenoma12,Adenoma,FR-CRC
0.388994956,-0.04796348,FR-adenoma13,Adenoma,FR-CRC
0.368231626,-0.13896804,FR-adenoma14,Adenoma,FR-CRC
0.395027222,-0.072511227,FR-adenoma15,Adenoma,FR-CRC
0.121025561,-0.224123646,FR-adenoma16,Adenoma,FR-CRC
0.271234044,-0.262094932,FR-adenoma17,Adenoma,FR-CRC
0.296654422,-0.140047295,FR-adenoma18,Adenoma,FR-CRC
0.357320517,-0.168246117,FR-adenoma19,Adenoma,FR-CRC
0.397993093,-0.081629922,FR-adenoma20,Adenoma,FR-CRC
0.26523591,-0.126063395,FR-adenoma21,Adenoma,FR-CRC
0.333467625,-0.013249968,FR-adenoma22,Adenoma,FR-CRC
0.21116025,-0.152068697,FR-adenoma23,Adenoma,FR-CRC
0.201770615,-0.086152123,FR-adenoma24,Adenoma,FR-CRC
0.170400371,-0.167693362,FR-adenoma25,Adenoma,FR-CRC
0.422426287,-0.065627283,FR-adenoma26,Adenoma,FR-CRC
0.266930444,0.010587535,FR-adenoma27,Adenoma,FR-CRC
0.183446359,-0.078885116,FR-adenoma28,Adenoma,FR-CRC
0.275637233,-0.101058974,FR-adenoma29,Adenoma,FR-CRC
0.121492789,-0.007676909,FR-adenoma30,Adenoma,FR-CRC
0.336255574,0.222205991,FR-adenoma31,Adenoma,FR-CRC
0.356996709,0.064209282,FR-adenoma32,Adenoma,FR-CRC
0.375650011,-0.166755349,FR-adenoma33,Adenoma,FR-CRC
0.383114313,-0.167053134,FR-adenoma34,Adenoma,FR-CRC
0.264889505,0.119866884,FR-adenoma35,Adenoma,FR-CRC
0.383928887,-0.122353998,FR-adenoma36,Adenoma,FR-CRC
0.281115068,-0.017241319,FR-adenoma37,Adenoma,FR-CRC
0.210976817,-0.008184724,FR-adenoma38,Adenoma,FR-CRC
0.109834576,0.271481846,FR-cancer01,Cancer,FR-CRC
0.34811812,-0.059917061,FR-cancer02,Cancer,FR-CRC
0.159571672,-0.110486938,FR-cancer03,Cancer,FR-CRC
0.257752205,-0.165583489,FR-cancer04,Cancer,FR-CRC
0.291337092,-0.230098736,FR-cancer05,Cancer,FR-CRC
0.433170543,-0.151688994,FR-cancer06,Cancer,FR-CRC
0.345634679,0.083080725,FR-cancer07,Cancer,FR-CRC
0.343177704,-0.067875862,FR-cancer08,Cancer,FR-CRC
0.345009671,-0.131711778,FR-cancer09,Cancer,FR-CRC
0.344732619,-0.241442858,FR-cancer10,Cancer,FR-CRC
0.332899413,-0.163326131,FR-cancer11,Cancer,FR-CRC
0.131641208,0.022155589,FR-cancer12,Cancer,FR-CRC
0.328757613,-0.044310552,FR-cancer13,Cancer,FR-CRC
0.197961947,-0.340122912,FR-cancer14,Cancer,FR-CRC
0.302946821,-0.104098341,FR-cancer15,Cancer,FR-CRC
0.216617166,-0.12857384,FR-cancer16,Cancer,FR-CRC
0.263041391,-0.279996279,FR-cancer17,Cancer,FR-CRC
0.350093329,-0.139714,FR-cancer18,Cancer,FR-CRC
0.206006756,-0.319056289,FR-cancer19,Cancer,FR-CRC
0.300510766,-0.129124262,FR-cancer20,Cancer,FR-CRC
0.324765466,0.192759289,FR-cancer21,Cancer,FR-CRC
0.366644114,0.184324628,FR-cancer22,Cancer,FR-CRC
0.288177138,-0.194371963,FR-cancer23,Cancer,FR-CRC
0.314473456,0.005875238,FR-cancer24,Cancer,FR-CRC
0.105754864,-0.072041597,FR-cancer25,Cancer,FR-CRC
0.305098142,-0.221176589,FR-cancer26,Cancer,FR-CRC
0.284276492,-0.143475842,FR-cancer27,Cancer,FR-CRC
0.255439969,-0.340188797,FR-cancer28,Cancer,FR-CRC
0.265072939,-0.073688365,FR-cancer29,Cancer,FR-CRC
0.261852412,-0.288440904,FR-cancer30,Cancer,FR-CRC
0.265305269,-0.227136062,FR-cancer31,Cancer,FR-CRC
0.136369401,-0.132161031,FR-cancer32,Cancer,FR-CRC
0.233979777,-0.05111549,FR-cancer33,Cancer,FR-CRC
0.313150092,-0.176445644,FR-cancer34,Cancer,FR-CRC
0.28548045,-0.169963646,FR-cancer35,Cancer,FR-CRC
0.302881901,-0.048184423,FR-cancer36,Cancer,FR-CRC
0.240902496,0.049721627,FR-cancer37,Cancer,FR-CRC
0.177443052,-0.240485316,FR-cancer38,Cancer,FR-CRC
0.367142064,-0.059471577,FR-cancer39,Cancer,FR-CRC
