Function ID,Function,Surperclass,control_versus_adenoma_p,adenoma_versus_cancer_p,control_versus_adenoma_fc,adenoma_versus_cancer_fc
PWY-5705,allantoin degradation to glyoxylate III,Amine and Polyamine Degradation,0.110357045,0.004022228,9.65E-05,0.088340333
PWY-5022,4-aminobutanoate degradation V,Amine and Polyamine Degradation,0.008788147,0.00044433,0.068410265,0.111110874
PWY-6151,S-adenosyl-L-methionine cycle I,Amino Acid Biosynthesis/Degradation,0.368446965,0.022169392,-0.012561751,-0.029299677
PWY-5097,L-lysine biosynthesis VI,Amino Acid Biosynthesis/Degradation,0.241867467,0.030659501,-0.001449605,-0.014297155
ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis,Amino Acid Biosynthesis/Degradation,0.023473274,0.379318148,-0.013465744,0.002794618
PWY-5345,superpathway of L-methionine biosynthesis (by sulfhydrylation),Amino Acid Biosynthesis/Degradation,0.007468943,0.901897791,0.076052495,0.012453929
HISDEG-PWY,L-histidine degradation I,Amino Acid Biosynthesis/Degradation,0.768669474,0.036544091,-0.056532069,0.131869435
P162-PWY,L-glutamate degradation V (via hydroxyglutarate),Amino Acid Biosynthesis/Degradation,0.003122536,1.73E-05,0.041986072,0.18244492
P163-PWY,L-lysine fermentation to acetate and butanoate,Amino Acid Biosynthesis/Degradation,0.15775994,8.47E-06,-0.032078198,0.188227667
PWY-5180,toluene degradation I (aerobic) (via o-cresol),Aromatic Compound Degradation,0.001209562,0.993833321,-0.03239764,-0.022372052
PWY-5182,toluene degradation II (aerobic) (via 4-methylcatechol),Aromatic Compound Degradation,0.001209562,0.993833321,-0.03239764,-0.022372052
PWY-6749,CMP-legionaminate biosynthesis I,Carbohydrate Biosynthesis/Degradation,0.934935445,0.011621216,0.009165388,-0.080543543
PWY-6478,GDP-D-glycero-alpha-D-manno-heptose biosynthesis,Carbohydrate Biosynthesis/Degradation,0.001651335,0.017502414,0.041979066,-0.052140735
PWY0-1241,ADP-L-glycero-beta-D-manno-heptose (ADP-heptose) biosynthesis,Carbohydrate Biosynthesis/Degradation,0.003007269,0.65987186,0.0801998,0.035223887
LACTOSECAT-PWY,lactose and galactose degradation I,Carbohydrate Biosynthesis/Degradation,0.000804702,0.68015076,-0.118375901,0.012427539
GLUCARDEG-PWY,D-glucarate degradation I,Carboxylate Degradation,0.190874956,0.00633679,0.038657989,0.136262653
TEICHOICACID-PWY,poly(glycerol phosphate) wall teichoic acid biosynthesis,Cell Structure Biosynthesis,0.724710564,0.041001521,-0.041119505,-0.064699678
PWY-6471,peptidoglycan biosynthesis IV (Enterococcus faecium),Cell Structure Biosynthesis,0.38817761,0.022794387,-0.002308334,-0.055458973
PWY-6263,superpathway of menaquinol-8 biosynthesis II,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.048326824,0.55006133,-0.004062419,0.019579271
PWY-5507,adenosylcobalamin biosynthesis I (anaerobic),"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.045737558,0.944303651,0.038525207,0.024222252
PWY-6895,superpathway of thiamine diphosphate biosynthesis II,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.077597142,0.005452568,0.028884047,0.05674787
PWY-6891,thiazole biosynthesis II (aerobic bacteria),"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.428766879,0.00063518,0.01435424,0.08457456
PWY-5860,superpathway of demethylmenaquinol-6 biosynthesis I,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.600968398,0.005998993,-0.002794494,0.110313031
PWY-5862,superpathway of demethylmenaquinol-9 biosynthesis,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.600380752,0.006137004,-0.002506203,0.110571114
HEMESYN2-PWY,heme b biosynthesis II (oxygen-independent),"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.204130945,0.001240614,0.035214668,0.112570436
PWY-7377,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.129727559,0.022040683,0.071024907,0.119399655
PWY0-1415,superpathway of heme b biosynthesis from uroporphyrinogen-III,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.400361583,0.010346789,0.019474291,0.133081617
PWY-5918,superpathway of heme b biosynthesis from glutamate,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.395782869,3.10E-05,0.04938632,0.150374822
PWY-5850,superpathway of menaquinol-6 (MK-6) biosynthesis I,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.951232442,0.002453922,0.039426196,0.157967186
PWY-5896,superpathway of menaquinol-10 (MK-10) biosynthesis,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.951232442,0.002453922,0.039426196,0.157967186
PWY-5845,superpathway of menaquinol-9 (MK-9) biosynthesis,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.951630247,0.002507925,0.039238322,0.158477523
HEME-BIOSYNTHESIS-II,heme b biosynthesis I (aerobic),"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.405933051,2.87E-05,0.060236698,0.160574793
PWY-7371,"1,4-dihydroxy-6-naphthoate biosynthesis II","Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.04910711,0.480769605,-0.006835576,0.009246315
PWY-7374,"1,4-dihydroxy-6-naphthoate biosynthesis I","Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",0.000221198,0.113161663,0.063158142,-0.043876865
PWY-3781,aerobic respiration I (cytochrome c),Electron Transfer,0.007109964,0.231595415,0.041717264,-0.053018681
